ebene_resultat;wahl_jahr;geoLevelName;kanton_nummer;kanton_bezeichnung;gemeinde_nummer;gemeinde_bezeichnung;partei_id_red1;partei_bezeichnung_de;partei_bezeichnung_fr;partei_bezeichnung_it;partei_bezeichnung_en;stimmen_partei;letzte_wahl_stimmen_partei;differenz_stimmen_partei;anzahl_listen;anzahl_kandidierende;anzahl_kandidierende_f;anzahl_kandidierende_m;anzahl_gewaehlte;anzahl_gewaehlte_f;anzahl_gewaehlte_m;letzte_wahl_anzahl_gewaehlte;letzte_wahl_anzahl_gewaehlte_f;letzte_wahl_anzahl_gewaehlte_m;differenz_anzahl_gewaehlte;differenz_anzahl_gewaehlte_f;differenz_anzahl_gewaehlte_m;fiktive_waehlende;letzte_wahl_fiktive_waehlende;differenz_fiktive_waehlende;partei_staerke;letzte_wahl_partei_staerke;differenz_partei_staerke;flag_staerkste_partei;partei_rang
Gemeinde;2023;Bürglen (TG);20;Thurgau;4911;Bürglen (TG);4;SVP;UDC;UDC;SVP;2860;2321;539;;;;;;;;;;;;;;;;;49.704553354;43.77593361;5.9286197442;1;1
Gemeinde;2023;Bürglen (TG);20;Thurgau;4911;Bürglen (TG);7;EVP;PEV;PEV;EVP;86;129;-43;;;;;;;;;;;;;;;;;1.4946124435;2.4330441343;-0.938431691;0;9
Gemeinde;2023;Bürglen (TG);20;Thurgau;4911;Bürglen (TG);13;GRÜNE;VERT-E-S;VERDI;GREENS;277;383;-106;;;;;;;;;;;;;;;;;4.8140424053;7.2236891739;-2.409646769;0;6
Gemeinde;2023;Bürglen (TG);20;Thurgau;4911;Bürglen (TG);16;EDU;UDF;UDF;EDU;220;253;-33;;;;;;;;;;;;;;;;;3.8234271811;4.7717842324;-0.948357051;0;7
Gemeinde;2023;Bürglen (TG);20;Thurgau;4911;Bürglen (TG);31;GLP;PVL;PVL;GLP;355;400;-45;;;;;;;;;;;;;;;;;6.1696211331;7.544322897;-1.374701764;0;5
Gemeinde;2023;Bürglen (TG);20;Thurgau;4911;Bürglen (TG);34;Mitte;Centre;Centro;Centre;805;736;69;;;;;;;;;;;;;;;;;13.99026764;13.881554131;0.1087135094;0;2
Gemeinde;2023;Bürglen (TG);20;Thurgau;4911;Bürglen (TG);35;Übrige;Autres;Altri;Others;201;;201;;;;;;;;;;;;;;;;;3.4932221064;;3.4932221064;0;8
Gemeinde;2023;Bussnang;20;Thurgau;4921;Bussnang;1;FDP;PLR;PLR;FDP;303;238;65;;;;;;;;;;;;;;;;;5.7604562738;5.2596685083;0.5007877655;0;5
Gemeinde;2023;Bussnang;20;Thurgau;4921;Bussnang;3;SP;PS;PS;SP;306;401;-95;;;;;;;;;;;;;;;;;5.8174904943;8.861878453;-3.044387959;0;4
Gemeinde;2023;Bussnang;20;Thurgau;4921;Bussnang;4;SVP;UDC;UDC;SVP;3074;2378;696;;;;;;;;;;;;;;;;;58.441064639;52.552486188;5.8885784509;1;1
Gemeinde;2023;Bussnang;20;Thurgau;4921;Bussnang;7;EVP;PEV;PEV;EVP;33;50;-17;;;;;;;;;;;;;;;;;0.6273764259;1.1049723757;-0.47759595;0;9
Gemeinde;2023;Bussnang;20;Thurgau;4921;Bussnang;13;GRÜNE;VERT-E-S;VERDI;GREENS;306;357;-51;;;;;;;;;;;;;;;;;5.8174904943;7.8895027624;-2.072012268;0;3
