kanton_nummer;kanton_bezeichnung;liste_nummer;liste_nummer_kanton;liste_bezeichnung;liste_1;liste_2;liste_3;liste_4;liste_5;liste_6;liste_7;liste_8;liste_9;liste_10;liste_11;liste_12;liste_13;liste_14;liste_15;liste_16;liste_17;liste_18;liste_19;liste_20;liste_21;liste_22;liste_23;liste_24;liste_25;liste_26;liste_27;liste_28;liste_29;liste_30;liste_31;liste_32;liste_33;liste_34;liste_35;liste_36;liste_37;liste_38;liste_39;liste_40;liste_41;liste_42;liste_43;liste_44;liste_45;liste_46;liste_47;liste_48;liste_49;liste_50;liste_51;liste_52;liste_ohne_listenbezeichnung;stimmen_liste_veraendert;stimmen_liste_unveraendert;stimmen_liste;wahlzettel_liste_unveraendert;wahlzettel_liste_veraendert;wahlzettel_liste;wahlzettel_ohne_listenbez
2;Bern / Berne;99;;Listen ohne Listenbezeichnung/listes sans dénomination;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21714
3;Luzern;1;1;Schweizerische Volkspartei (SVP);105106;233;7557;98;407;5106;2;1;2;3;8;6;7;9;4;1;4;93;20;116;1;158;18;42;34;69;21;8;18;15;9;21;61;10;24;18;21;42;835;376;39;1;7;1;15;232;0;90;0;0;0;0;11055;132024;178245;310269;19805;15447;35252;
3;Luzern;2;2;Sozialdemokratische Partei (SP) und Gewerkschaften;418;46338;2845;5672;1946;585;155;47;86;56;8;10;76;4;3;221;103;0;7;69;130;57;0;81;42;7;10;29;31;28;0;18;8;3;5;4;4;6;59;3;2;14;2;5;195;2;154;2;0;0;0;0;7258;66808;74718;141526;8302;7536;15838;
3;Luzern;3;3;Die Mitte;13647;2592;136921;1392;3350;9945;17;9;9;39;161;144;10;15;12;2;40;7;77;210;29;167;8;406;233;368;102;133;136;144;15;35;67;42;53;18;35;128;154;243;7;14;29;8;41;42;35;10;0;0;0;0;19467;190768;72990;263758;8110;20788;28898;
3;Luzern;4;4;GRÜNE;200;6394;1976;22582;1756;350;293;55;27;33;8;10;21;0;1;47;120;0;6;30;109;59;0;30;40;10;12;7;9;12;1;3;1;3;5;0;0;2;43;1;0;5;2;1;75;0;65;0;0;0;0;0;4535;38939;37035;75974;4115;4348;8463;
3;Luzern;5;5;Grünliberale Partei (GLP);561;1828;3899;1740;21296;1641;28;6;3;189;7;6;8;8;5;5;29;0;5;36;21;69;2;72;58;7;29;12;22;10;4;11;21;24;11;7;4;5;33;3;1;76;53;10;19;5;14;0;0;0;0;0;5577;37480;30753;68233;3417;4238;7655;
3;Luzern;6;6;FDP.Die Liberalen Luzern;7150;651;9121;318;1709;66631;8;1;0;10;17;7;20;60;35;0;11;9;12;72;1;107;7;47;53;42;53;9;29;12;50;78;123;83;106;66;80;149;76;56;4;7;14;2;16;33;8;6;0;0;0;0;9489;96648;54180;150828;6020;10641;16661;
3;Luzern;7;7a;Junge Grüne a;20;505;82;643;109;32;1249;59;6;28;4;2;1;0;1;58;15;0;0;5;11;6;0;4;4;0;0;3;3;2;1;0;0;0;2;0;0;0;1;0;0;1;1;3;16;0;25;0;0;0;0;0;621;3523;2943;6466;327;237;564;
3;Luzern;8;7b;Junge Grüne b;12;374;61;514;66;8;154;362;4;24;2;7;1;0;3;22;6;1;0;0;28;3;0;3;2;0;0;0;2;6;0;0;0;0;1;0;0;0;2;0;0;0;1;1;18;0;32;0;0;0;0;0;677;2397;1062;3459;118;84;202;
3;Luzern;9;8;SP-Second@s Plus und Migrant:innen;25;1012;185;368;171;36;23;22;332;28;5;4;5;0;1;30;15;2;0;14;29;26;0;10;4;0;0;3;1;2;2;5;1;0;1;0;0;0;6;0;0;2;1;6;28;0;48;0;0;0;0;0;1134;3587;2079;5666;231;63;294;
3;Luzern;10;9;Junge Grünliberale Partei;27;231;189;176;844;46;11;12;3;958;9;13;2;6;1;4;13;0;2;4;12;7;0;13;6;1;3;5;1;1;3;1;2;2;0;0;2;0;1;2;0;12;8;4;11;1;15;0;0;0;0;0;1158;3822;2241;6063;249;201;450;
3;Luzern;11;10a;Die Junge Mitte a;216;104;1567;39;145;241;1;1;3;31;705;36;1;2;0;2;3;2;1;9;7;13;0;26;20;2;12;11;6;9;2;2;3;4;3;0;4;7;5;4;0;4;1;2;7;3;4;1;0;0;0;0;1079;4350;828;5178;92;129;221;
3;Luzern;12;10b;Die Junge Mitte b;107;238;848;140;196;70;5;13;9;54;54;486;2;8;3;1;17;5;1;19;13;17;0;41;15;5;5;9;11;4;2;2;2;3;3;1;2;0;8;3;0;2;4;2;9;7;12;1;0;0;0;0;1360;3819;720;4539;80;97;177;
3;Luzern;13;11;SP 60+;48;536;93;200;67;32;7;9;1;12;0;1;420;0;0;16;8;0;0;6;15;8;1;3;4;0;0;3;3;4;0;0;0;0;3;0;0;0;12;0;0;2;0;2;17;0;15;0;0;0;0;0;546;2094;972;3066;108;72;180;
3;Luzern;14;12a;Jungfreisinnige a;71;27;122;10;48;324;3;0;12;2;1;2;0;687;4;0;0;3;0;0;0;1;0;1;0;0;1;0;0;0;1;5;10;0;3;1;0;0;2;0;0;0;0;0;5;4;0;0;0;0;0;0;287;1637;324;1961;36;100;136;
3;Luzern;15;12b;Jungfreisinnige b;151;5;158;8;29;315;0;0;0;1;5;1;0;17;278;0;0;1;0;0;0;7;0;3;1;2;3;0;0;1;0;4;5;0;1;1;0;6;0;4;0;0;0;0;2;0;0;0;0;0;0;0;280;1289;108;1397;12;42;54;
3;Luzern;16;13;JUSOplus-Jungsozialist*innen und junge Linke;12;557;44;204;40;5;52;21;9;14;5;4;1;0;1;583;4;0;0;1;10;6;0;1;3;0;2;1;5;3;0;0;1;0;0;0;0;0;3;0;0;0;0;0;12;3;19;0;0;0;0;0;436;2062;1557;3619;173;121;294;
3;Luzern;17;16;GRÜNE Unternehmer*innen;98;945;594;1659;627;111;22;18;6;33;14;9;14;2;2;7;1114;1;1;29;61;49;0;45;30;1;3;5;7;6;4;4;4;5;1;1;1;0;32;0;0;12;3;5;23;3;17;3;0;0;0;0;2003;7634;2232;9866;248;191;439;
3;Luzern;18;19;Junge Schweizerische Volkspartei (JSVP);1095;7;87;2;12;89;0;0;0;0;8;0;0;1;5;0;0;450;0;3;1;19;3;0;3;2;1;1;2;1;2;4;11;1;4;1;2;1;78;10;5;0;0;0;1;19;0;20;0;0;0;0;559;2510;1125;3635;125;71;196;
3;Luzern;19;22;Die Mitte 60+;310;107;1443;57;177;244;0;0;1;4;10;9;13;2;0;1;3;2;821;24;1;18;5;36;16;9;8;7;12;16;0;2;4;2;5;1;12;0;9;2;1;2;2;1;1;3;3;0;0;0;0;0;1153;4559;1251;5810;139;113;252;
3;Luzern;20;23;Evangelische Volkspartei (EVP);147;105;303;79;92;36;2;1;2;4;2;5;0;1;0;2;10;0;6;1285;2;46;0;10;7;2;6;6;7;10;4;0;1;4;0;0;0;0;20;2;1;4;0;0;8;8;1;4;0;0;0;0;728;2963;2916;5879;324;258;582;
3;Luzern;21;24;GRÜNE Kultur;4;651;64;977;110;21;40;39;6;25;2;0;6;0;1;10;32;0;0;3;724;6;0;2;6;0;1;0;2;2;0;0;1;0;0;0;1;0;4;0;0;0;0;2;26;1;55;0;0;0;0;0;917;3741;1665;5406;185;150;335;
3;Luzern;22;25;Parteilos Katja Staub;320;62;165;40;74;87;2;3;0;0;2;1;3;2;7;0;5;4;0;80;0;618;0;8;3;0;1;2;2;4;2;0;1;1;0;0;2;0;83;3;1;0;1;0;2;4;0;3;0;0;0;0;510;2108;675;2783;75;206;281;
3;Luzern;23;26;Aktive Senioren Luzern;473;18;128;9;12;74;0;0;0;0;2;0;0;0;0;0;0;4;1;16;0;10;213;2;2;1;7;1;2;3;0;2;6;4;0;8;0;0;11;2;6;0;1;0;2;21;0;5;0;0;0;0;343;1389;1035;2424;115;30;145;
3;Luzern;24;27;Die Mitte Frauen;236;365;2998;213;800;395;2;2;3;51;18;30;2;4;0;3;22;0;8;64;8;33;1;2008;54;11;19;26;31;15;3;0;7;6;10;1;12;3;9;5;2;17;9;4;24;5;5;0;0;0;0;0;2832;10376;5535;15911;615;377;992;
3;Luzern;25;28;Klimaschutz (Die Mitte);285;208;2163;266;439;432;3;3;0;1;12;10;4;0;0;3;24;2;1;11;3;14;0;48;1437;15;21;20;24;15;1;1;7;12;7;4;13;2;15;1;3;4;7;3;7;3;8;2;0;0;0;0;1452;7016;3969;10985;441;263;704;
3;Luzern;26;29;Landwirtschaft (Die Mitte);1054;95;2618;73;174;300;4;1;2;6;6;7;0;2;0;0;7;1;3;14;1;13;1;45;43;1412;9;10;10;25;2;3;17;2;1;5;3;32;17;88;3;2;3;3;4;11;0;0;0;0;0;0;1907;8039;3105;11144;345;238;583;
3;Luzern;27;30;Wirtschaft und Gewerbe (Die Mitte);312;105;1662;68;224;486;0;1;0;1;5;5;0;3;1;0;3;4;4;10;2;17;0;28;27;17;873;12;20;13;0;2;23;11;0;5;2;2;14;0;3;1;4;2;7;17;2;3;0;0;0;0;1304;5305;2394;7699;266;147;413;
3;Luzern;28;31;Gesundheit und Soziales (Die Mitte);214;277;1674;132;273;198;4;2;0;13;20;15;7;1;0;0;28;1;4;22;3;23;1;75;33;6;12;794;34;11;0;8;8;9;10;4;2;0;7;4;0;3;3;1;27;6;3;3;0;0;0;0;1715;5690;3132;8822;348;133;481;
3;Luzern;29;32;Bildung und Kultur (Die Mitte);369;177;2155;91;221;412;0;0;2;2;16;3;1;7;0;1;6;4;10;22;2;16;0;66;37;19;23;29;869;24;0;11;20;17;4;10;8;3;10;4;3;1;8;0;7;12;4;0;0;0;0;0;1752;6458;2052;8510;228;157;385;
3;Luzern;30;33;Christlich-Soziale (Die Mitte);177;283;1206;160;127;158;1;7;4;8;7;8;4;2;0;0;6;0;4;50;6;18;2;39;20;21;15;9;26;718;0;2;0;11;6;2;3;4;5;3;0;0;1;0;10;7;8;1;0;0;0;0;1297;4446;1359;5805;151;128;279;
3;Luzern;31;34;FDP.Generationen;161;11;123;8;68;382;0;0;0;1;1;0;0;10;1;0;0;5;0;2;0;11;2;9;10;0;6;0;0;0;335;2;13;7;4;3;8;7;8;3;1;0;6;0;0;10;0;2;0;0;0;0;396;1616;954;2570;106;53;159;
3;Luzern;32;35;FDP.Sozial-liberal;198;62;399;33;118;863;0;3;0;1;3;1;2;2;1;0;3;4;2;10;0;11;0;10;9;8;8;6;3;12;6;666;29;21;17;5;10;3;11;4;0;0;4;0;7;6;0;0;0;0;0;0;778;3339;1485;4824;165;107;272;
3;Luzern;33;36;FDP.Wirtschaft und Bildung;278;41;531;18;160;1362;0;0;3;6;0;1;2;19;0;0;4;1;4;6;0;19;1;11;12;2;11;4;13;3;3;6;1146;21;16;9;12;11;11;1;1;2;11;0;1;19;0;0;0;0;0;0;1217;4999;3114;8113;346;192;538;
3;Luzern;34;37;FDP.Umwelt und Energie;132;55;265;20;233;636;0;2;1;15;7;2;1;2;1;0;7;0;0;4;1;4;0;26;14;11;0;1;5;0;4;18;30;533;7;7;9;4;11;6;0;8;5;2;2;3;0;0;0;0;0;0;776;2870;1539;4409;171;100;271;
3;Luzern;35;38;FDP.Frauen Stadt-Land;272;41;477;29;117;990;0;1;2;3;4;4;1;3;1;0;3;1;3;10;0;18;0;38;9;7;4;0;4;4;5;13;33;19;729;6;6;9;3;9;0;5;9;0;4;15;0;1;0;0;0;0;982;3894;1431;5325;159;121;280;
3;Luzern;36;39;FDP.Kultur und Sport;197;22;140;4;44;587;1;0;0;2;0;0;0;0;0;0;0;2;4;1;0;8;0;1;6;9;1;0;2;0;4;3;8;4;4;687;8;0;3;1;0;0;1;0;1;15;0;5;0;0;0;0;392;2167;414;2581;46;99;145;
3;Luzern;37;40;FDP.Gemeinden;291;31;637;23;192;1135;0;0;0;8;5;2;0;6;1;0;2;0;0;6;1;11;0;22;11;4;14;1;8;0;2;9;19;13;12;4;771;9;4;7;1;3;6;0;2;10;0;1;0;0;0;0;1132;4416;909;5325;101;117;218;
